Location,AsthmaRate
Alabama,0.109
Alaska,0.084
Arizona,0.098
Arkansas,0.096
California,0.079
Colorado,0.093
Connecticut,0.107
Delaware,0.106
Florida,0.075
Georgia,0.084
Hawaii,0.098
Idaho,0.090
Illinois,0.082
Indiana,0.100
Iowa,0.093
Kansas,0.091
Kentucky,0.107
Louisiana,0.090
Maine,0.112
Maryland,0.094
Massachusetts,0.115
Michigan,0.108
Minnesota,0.073
Mississippi,0.083
Missouri,0.094
Montana,0.091
Nebraska,0.082
Nevada,0.104
NewHampshire,0.132
NewJersey,0.086
NewMexico,0.105
NewYork,0.092
NorthCarolina,0.092
NorthDakota,0.086
Ohio,0.099
Oklahoma,0.096
Oregon,0.109
Pennsylvania,0.101
RhodeIsland,0.123
SouthCarolina,0.092
SouthDakota,0.073
Tennessee,0.100
Texas,0.073
Utah,0.089
Vermont,0.118
Virginia,0.089
Washington,0.105
WestVirginia,0.127
Wisconsin,0.095
Wyoming,0.091
DistrictofColumbia,0.094
