State,Coal,NaturalGas,Petroleum
Alabama,410.2,715.7,553.3
Alaska,16.6,330.9,233
Arizona,323.9,371.5,532.1
Arkansas,246.4,315.7,328.5
California,32.1,2248.4,3476.3
Colorado,321.5,501.1,470.4
Connecticut,2.3,254.7,298.5
Delaware,8.2,113.6,103.1
Florida,426.2,1414.1,1621.6
Georgia,399.3,728,862.9
Hawaii,16.4,0.2,234.9
Idaho,2.4,110.3,177.8
Illinois,702.5,1045.2,1245.1
Indiana,948.4,780.1,765.6
Iowa,298,317.2,432.7
Kansas,253.1,278.1,345.8
Kentucky,736.6,284.1,598.7
Louisiana,140.5,1697.4,1904.4
Maine,2.2,54.5,191
Maryland,162.9,229.6,448.2
Massachusetts,20.1,442.7,559.2
Michigan,471.2,927.5,853.7
Minnesota,261.2,466.5,598.1
Mississippi,61.2,563.4,481.9
Missouri,639.9,273.6,624.6
Montana,161.9,77.6,167.5
Nebraska,240.5,172.9,238.8
Nevada,30.8,316,245.2
NewHampshire,5.3,59.5,146.2
NewJersey,17.5,795.1,967.6
NewMexico,197.1,259.6,238.1
NewYork,29.7,1335.1,1305.2
NorthCarolina,381.8,540.2,818.8
NorthDakota,394.6,105.8,167.4
Ohio,825.3,996.9,1118.9
Oklahoma,221.8,738.4,535.9
Oregon,19.4,249.8,332.5
Pennsylvania,734.8,1363.8,1145.3
RhodeIsland,0,88.9,75.9
SouthCarolina,221.9,284.2,522.9
SouthDakota,26.7,85.6,115.2
Tennessee,379.8,339.3,712.6
Texas,1323.1,4155.6,6405.7
Utah,269,250.9,293.6
Vermont,0,12.4,78.8
Virginia,222.9,572.1,767.1
Washington,53.3,324.9,824.8
WestVirginia,752,187.5,202.1
Wisconsin,357.3,499.6,527
Wyoming,457.3,133,156.1
DistrictofColumbia,1,30.1,19.6
