Area,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
Utah,LungandBronchus,2015,MaleandFemale,25.5,639,2990632
NewMexico,LungandBronchus,2015,MaleandFemale,38.2,972,2080328
California,LungandBronchus,2015,MaleandFemale,41,16948,38993940
Colorado,LungandBronchus,2015,MaleandFemale,40.5,2312,5448819
DistrictofColumbia,LungandBronchus,2015,MaleandFemale,42.5,277,670377
Wyoming,LungandBronchus,2015,MaleandFemale,42.6,283,586555
Arizona,LungandBronchus,2015,MaleandFemale,46.5,3975,6817565
Hawaii,LungandBronchus,2015,MaleandFemale,43.8,807,1425157
Idaho,LungandBronchus,2015,MaleandFemale,49.7,937,1652828
Montana,LungandBronchus,2015,MaleandFemale,52.1,723,1032073
Nevada,LungandBronchus,2015,MaleandFemale,46.6,1536,2883758
Oregon,LungandBronchus,2015,MaleandFemale,48.9,2492,4024634
Texas,LungandBronchus,2015,MaleandFemale,49.3,13080,27429639
Washington,LungandBronchus,2015,MaleandFemale,52.8,4308,7160290
Connecticut,LungandBronchus,2015,MaleandFemale,57.2,2580,3584730
Florida,LungandBronchus,2015,MaleandFemale,54.9,16225,20244914
Georgia,LungandBronchus,2015,MaleandFemale,60.5,6512,10199398
Alaska,LungandBronchus,2015,MaleandFemale,53.5,351,737709
Kansas,LungandBronchus,2015,MaleandFemale,58.8,1992,2906721
Maryland,LungandBronchus,2015,MaleandFemale,55.5,3810,5994983
Massachusetts,LungandBronchus,2015,MaleandFemale,61.8,5119,6784240
Minnesota,LungandBronchus,2015,MaleandFemale,57.1,3707,5482435
Nebraska,LungandBronchus,2015,MaleandFemale,57.1,1259,1893765
NewJersey,LungandBronchus,2015,MaleandFemale,55.2,5930,8935421
NewYork,LungandBronchus,2015,MaleandFemale,59.2,13993,19747183
NorthDakota,LungandBronchus,2015,MaleandFemale,54.4,458,756835
SouthDakota,LungandBronchus,2015,MaleandFemale,56,588,857919
Vermont,LungandBronchus,2015,MaleandFemale,60.4,520,626088
Wisconsin,LungandBronchus,2015,MaleandFemale,57.4,4132,5767891
Virginia,LungandBronchus,2015,MaleandFemale,55,5296,8367587
Arkansas,LungandBronchus,2015,MaleandFemale,77.3,2897,2977853
Delaware,LungandBronchus,2015,MaleandFemale,71.8,884,944076
Alabama,LungandBronchus,2015,MaleandFemale,63.6,3901,4853875
Kentucky,LungandBronchus,2015,MaleandFemale,89.6,4844,4424611
Louisiana,LungandBronchus,2015,MaleandFemale,65,3475,4668960
Maine,LungandBronchus,2015,MaleandFemale,69.7,1347,1329453
Michigan,LungandBronchus,2015,MaleandFemale,62.4,7810,9917715
Mississippi,LungandBronchus,2015,MaleandFemale,72.3,2567,2989390
Missouri,LungandBronchus,2015,MaleandFemale,71,5369,6076204
NewHampshire,LungandBronchus,2015,MaleandFemale,62.1,1101,1330111
Illinois,LungandBronchus,2015,MaleandFemale,64,9471,12839047
Indiana,LungandBronchus,2015,MaleandFemale,72.3,5592,6612768
Iowa,LungandBronchus,2015,MaleandFemale,62.7,2466,3121997
NorthCarolina,LungandBronchus,2015,MaleandFemale,67.2,8129,10035186
Ohio,LungandBronchus,2015,MaleandFemale,67.2,9842,11605090
Oklahoma,LungandBronchus,2015,MaleandFemale,66.9,3090,3907414
Pennsylvania,LungandBronchus,2015,MaleandFemale,63.2,10813,12791904
RhodeIsland,LungandBronchus,2015,MaleandFemale,69.2,920,1055607
SouthCarolina,LungandBronchus,2015,MaleandFemale,64.5,4017,4894834
Tennessee,LungandBronchus,2015,MaleandFemale,76.6,6200,6595056
WestVirginia,LungandBronchus,2015,MaleandFemale,77.4,2031,1841053
