Edition,ReportType,MeasureName,StateName,Rank,Value,Score,LowerCI,UpperCI,Source,SourceYear
2013,2013Annual,AirPollution,Alabama,40,10.7,0.21,,,AHRdata,
2013,2013Annual,AirPollution,Alaska,2,5.4,-2,,,AHRdata,
2013,2013Annual,AirPollution,Arizona,28,9.6,-0.37,,,AHRdata,
2013,2013Annual,AirPollution,Arkansas,40,10.7,0.21,,,AHRdata,
2013,2013Annual,AirPollution,California,50,15.1,2,,,AHRdata,
2013,2013Annual,AirPollution,Colorado,6,6.7,-1.88,,,AHRdata,
2013,2013Annual,AirPollution,Connecticut,20,9,-0.68,,,AHRdata,
2013,2013Annual,AirPollution,Delaware,39,10.6,0.16,,,AHRdata,
2013,2013Annual,AirPollution,Florida,11,7.6,-1.41,,,AHRdata,
2013,2013Annual,AirPollution,Georgia,45,11.2,0.47,,,AHRdata,
2013,2013Annual,AirPollution,Hawaii,22,9.1,-0.63,,,AHRdata,
2013,2013Annual,AirPollution,Idaho,18,8.6,-0.89,,,AHRdata,
2013,2013Annual,AirPollution,Illinois,47,11.7,0.73,,,AHRdata,
2013,2013Annual,AirPollution,Indiana,49,12.6,1.2,,,AHRdata,
2013,2013Annual,AirPollution,Iowa,34,9.9,-0.21,,,AHRdata,
2013,2013Annual,AirPollution,Kansas,19,8.9,-0.73,,,AHRdata,
2013,2013Annual,AirPollution,Kentucky,44,11.1,0.42,,,AHRdata,
2013,2013Annual,AirPollution,Louisiana,28,9.6,-0.37,,,AHRdata,
2013,2013Annual,AirPollution,Maine,10,7.5,-1.46,,,AHRdata,
2013,2013Annual,AirPollution,Maryland,43,10.8,0.26,,,AHRdata,
2013,2013Annual,AirPollution,Massachusetts,13,8.1,-1.15,,,AHRdata,
2013,2013Annual,AirPollution,Michigan,25,9.3,-0.52,,,AHRdata,
2013,2013Annual,AirPollution,Minnesota,13,8.1,-1.15,,,AHRdata,
2013,2013Annual,AirPollution,Mississippi,33,9.8,-0.26,,,AHRdata,
2013,2013Annual,AirPollution,Missouri,35,10,-0.16,,,AHRdata,
2013,2013Annual,AirPollution,Montana,9,7.2,-1.62,,,AHRdata,
2013,2013Annual,AirPollution,Nebraska,15,8.2,-1.1,,,AHRdata,
2013,2013Annual,AirPollution,Nevada,22,9.1,-0.63,,,AHRdata,
2013,2013Annual,AirPollution,NewHampshire,11,7.6,-1.41,,,AHRdata,
2013,2013Annual,AirPollution,NewJersey,22,9.1,-0.63,,,AHRdata,
2013,2013Annual,AirPollution,NewMexico,5,6.6,-1.93,,,AHRdata,
2013,2013Annual,AirPollution,NewYork,20,9,-0.68,,,AHRdata,
2013,2013Annual,AirPollution,NorthCarolina,28,9.6,-0.37,,,AHRdata,
2013,2013Annual,AirPollution,NorthDakota,3,5.6,-2,,,AHRdata,
2013,2013Annual,AirPollution,Ohio,46,11.6,0.68,,,AHRdata,
2013,2013Annual,AirPollution,Oklahoma,32,9.7,-0.31,,,AHRdata,
2013,2013Annual,AirPollution,Oregon,8,7,-1.73,,,AHRdata,
2013,2013Annual,AirPollution,Pennsylvania,47,11.7,0.73,,,AHRdata,
2013,2013Annual,AirPollution,RhodeIsland,16,8.5,-0.94,,,AHRdata,
2013,2013Annual,AirPollution,SouthCarolina,37,10.2,-0.05,,,AHRdata,
2013,2013Annual,AirPollution,SouthDakota,4,6.4,-2,,,AHRdata,
2013,2013Annual,AirPollution,Tennessee,36,10.1,-0.11,,,AHRdata,
2013,2013Annual,AirPollution,Texas,37,10.2,-0.05,,,AHRdata,
2013,2013Annual,AirPollution,Utah,25,9.3,-0.52,,,AHRdata,
2013,2013Annual,AirPollution,Vermont,7,6.9,-1.78,,,AHRdata,
2013,2013Annual,AirPollution,Virginia,25,9.3,-0.52,,,AHRdata,
2013,2013Annual,AirPollution,Washington,16,8.5,-0.94,,,AHRdata,
2013,2013Annual,AirPollution,WestVirginia,40,10.7,0.21,,,AHRdata,
2013,2013Annual,AirPollution,Wisconsin,28,9.6,-0.37,,,AHRdata,
2013,2013Annual,AirPollution,Wyoming,1,5.3,-2,,,AHRdata,
2013,2013Annual,AirPollution,UnitedStates,,10.3,,,,AHRdata,
2013,2013Annual,AirPollution,DistrictofColumbia,,11.3,,,,AHRdata,
